Famille,Blason,Devise,Source,Mort/vivant/peut-íÈtre,Sexe,Main du roi,Statut,Target,Type de relation,Weight,Localisation d'origine,Lieux de vie,Rí©gions,Saison 1,Saison 2,Saison 3,Saison 4,Saison 5,Photo
Stark,Loup-Garou,L'hiver vient,Jon Snow,mort,masculin,,"bí¢tard, lord commandant de la garde de nuit",Robb Stark,demi-frere,4,Winterfell,Le Mur,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/610945499856699394/NZbyxcwo.jpg
Stark,Loup-Garou,L'hiver vient,Jon Snow,mort,masculin,,"bí¢tard, lord commandant de la garde de nuit",Sansa Stark,demi-frere,4,Winterfell,Le Mur,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/610945499856699394/NZbyxcwo.jpg
Stark,Loup-Garou,L'hiver vient,Jon Snow,mort,masculin,,"bí¢tard, lord commandant de la garde de nuit",Arya Stark,demi-frere,4,Winterfell,Le Mur,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/610945499856699394/NZbyxcwo.jpg
Stark,Loup-Garou,L'hiver vient,Jon Snow,mort,masculin,,"bí¢tard, lord commandant de la garde de nuit",Brandon Stark,demi-frere,4,Winterfell,Le Mur,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/610945499856699394/NZbyxcwo.jpg
Stark,Loup-Garou,L'hiver vient,Jon Snow,mort,masculin,,"bí¢tard, lord commandant de la garde de nuit",Rickon Stark,demi-frere,4,Winterfell,Le Mur,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/610945499856699394/NZbyxcwo.jpg
Stark,Loup-Garou,L'hiver vient,Sansa Stark,vivant,feminin,,hí©ritiíÂre de Winterfell et gouverneur du  nord,Jon Snow,demi-soeur,4,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/499328626064916480/ORr3OR8i.jpeg
Stark,Loup-Garou,L'hiver vient,Arya Stark,vivant,feminin,,membre des sans-visages,Jon Snow,demi-soeur,4,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://s3.amazonaws.com/cinescape/elements/12/resources/images/katuimg_article_b0d720b03aa9f9405666d44ab84ed2fa_jpg_650x400_80_4946.jpg
Stark,Loup-Garou,L'hiver vient,Theon Greyjoy,vivant,masculin,,hí©ritier des Greyjoy,Ramsay Bolton,esclave,2,Iles de Fer,Winterfell,Nord,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=400
Stark,Loup-Garou,L'hiver vient,Sansa Stark,vivant,feminin,,hí©ritiíÂre de Winterfell et gouverneur du  nord,Ramsay Bolton,femme,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/499328626064916480/ORr3OR8i.jpeg
Baratheon,Cerf Couronní©,NíÇtre est la fureur,Renly Baratheon,mort,masculin,,membre du conseil restreint,Margeary Tyrell,fiancE,3,Accalmie,,Terres de l'orage,oui,oui,non,non,non,https://pbs.twimg.com/profile_images/1355313280/renly_400x400.jpg
Tyrell,Rose d'Or,Croí¬tre avec vigueur,Loras Tyrell,vivant,masculin,,chevalier de la rose,Cersei Lannister,fiancE,3,Haut Jardin,Port Rí©al,Bief,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/602415744966643712/hvlOSH32.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Trystane Martell,vivant,masculin,,hí©ritier du tríÇne de Dorne,Myrcella Lannister,fiancE,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,http://assets.viewers-guide.hbo.com/large555513aae2bb3.jpg
Lannister,Lion d'Or,Je rugis,Myrcella Lannister,mort,feminin,,,Tristan Martell,fiancEe,3,Port Rí©al,,Ouest,oui,non,non,oui,oui,https://pbs.twimg.com/media/COY-JJOWoAAfEBK.jpg
Tyrell,Rose d'Or,Croí¬tre avec vigueur,Margeary Tyrell,vivant,feminin,,reine de Westeros,Renly Baratheon,fiancEe,3,Haut Jardin,Port Rí©al,Bief,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/513615647872651265/ChAypFBy_400x400.jpeg
Stark,Loup-Garou,L'hiver vient,Sansa Stark,vivant,feminin,,hí©ritiíÂre de Winterfell et gouverneur du  nord,Eddard Stark,fille,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/499328626064916480/ORr3OR8i.jpeg
Stark,Loup-Garou,L'hiver vient,Sansa Stark,vivant,feminin,,hí©ritiíÂre de Winterfell et gouverneur du  nord,Catelyn Tully,fille,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/499328626064916480/ORr3OR8i.jpeg
Stark,Loup-Garou,L'hiver vient,Arya Stark,vivant,feminin,,membre des sans-visages,Eddard Stark,fille,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://s3.amazonaws.com/cinescape/elements/12/resources/images/katuimg_article_b0d720b03aa9f9405666d44ab84ed2fa_jpg_650x400_80_4946.jpg
Stark,Loup-Garou,L'hiver vient,Arya Stark,vivant,feminin,,membre des sans-visages,Catelyn Tully,fille,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://s3.amazonaws.com/cinescape/elements/12/resources/images/katuimg_article_b0d720b03aa9f9405666d44ab84ed2fa_jpg_650x400_80_4946.jpg
Baratheon,Cerf Couronní©,NíÇtre est la fureur,ShíÇren Baratheon,mort,feminin,,,Stannis Baratheon,fille,3,Accalmie,,Terres de l'orage,non,non,oui,oui,oui,https://pbs.twimg.com/profile_images/467752815830392833/8d7ePjtG_400x400.jpeg
Lannister,Lion d'Or,Je rugis,Cersei Lannister,vivant,feminin,,"Reine de Westeros, Rí©gente",Tywin Lannister,fille,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,http://i56.servimg.com/u/f56/18/63/99/45/179-le10.jpg
Lannister,Lion d'Or,Je rugis,Myrcella Lannister,mort,feminin,,,Cersei Lannister,fille,3,Port Rí©al,Dorne,Ouest,oui,non,non,oui,oui,https://pbs.twimg.com/media/COY-JJOWoAAfEBK.jpg
Lannister,Lion d'Or,Je rugis,Myrcella Lannister,mort,feminin,,,Jaimie Lannister,fille,3,Port Rí©al,,Ouest,oui,non,non,oui,oui,https://pbs.twimg.com/media/COY-JJOWoAAfEBK.jpg
Targaryen,Dragon Tricí©phale,Feu et sang,Daenerys Targaryen,vivant,feminin,,"princesse hí©ritiíÂre, Reine des cití©s libres, mere des dragons",Aerys II Targaryen,fille,3,Valyrie,Essos,Essos,oui,oui,oui,oui,oui,http://vignette3.wikia.nocookie.net/eisundfeuer/images/e/e3/Daenerys_Targaryen.jpg/revision/latest?cb=20131006201356&path-prefix=de
Greyjoy,Kraken Dorí©,Nous ne semons pas,Asha Greyjoy,vivant,feminin,,Hí©ritiíÂre des Iles de Fer,Balon Greyjon,fille,3,Iles de Fer,,Iles de Fer,non,non,oui,oui,non,http://i494.photobucket.com/albums/rr305/alex13_95/Asha-Greyjoy-asha-greyjoy-34689992-450-450.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Obara Sand,vivant,feminin,,Aspic des sables,Oberyn Martell,fille,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,https://pbs.twimg.com/profile_images/579991273727082496/0YFBbHqq.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Nymeria Sand,vivant,feminin,,Aspic des sables,Oberyn Martell,fille,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,https://pbs.twimg.com/profile_images/619568027600859136/mkMp88Ux.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Tyene Sand,vivant,feminin,,Aspic des sables,Oberyn Martell,fille,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,http://piesnloduiognia.pl/wp-content/uploads/2015/04/tyene-sand_small.jpg
Stark,Loup-Garou,L'hiver vient,Robb Stark,mort,masculin,,roi du nord,Eddard Stark,fils,3,Winterfell,Winterfell,Nord,oui,oui ,oui,non,non,https://images.blogthings.com/whatgameofthronescharacterareyouquiz/robb-stark.jpg
Stark,Loup-Garou,L'hiver vient,Robb Stark,mort,masculin,,roi du nord,Catelyn Tully,fils,3,Winterfell,Winterfell,Nord,oui,oui ,oui,non,non,https://images.blogthings.com/whatgameofthronescharacterareyouquiz/robb-stark.jpg
Stark,Loup-Garou,L'hiver vient,Brandon Stark,vivant,masculin,,membre des enfants de la fíÇret,Eddard Stark,fils,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/432738150268411904/6EM9iIF__400x400.png
Stark,Loup-Garou,L'hiver vient,Brandon Stark,vivant,masculin,,membre des enfants de la fíÇret,Catelyn Tully,fils,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/432738150268411904/6EM9iIF__400x400.png
Stark,Loup-Garou,L'hiver vient,Rickon Stark,vivant,masculin,,,Eddard Stark,fils,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,non,https://pbs.twimg.com/profile_images/378800000432009708/e907cc868bd6785919ba13f72c00767c_400x400.png
Stark,Loup-Garou,L'hiver vient,Rickon Stark,vivant,masculin,,,Catelyn Tully,fils,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,non,https://pbs.twimg.com/profile_images/378800000432009708/e907cc868bd6785919ba13f72c00767c_400x400.png
Stark,Loup-Garou,L'hiver vient,Theon Greyjoy,vivant,masculin,,hí©ritier des Greyjoy,Balon Greyjoy,fils,3,Iles de Fer,Winterfell,Nord,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=400
Lannister,Lion d'Or,Je rugis,Jaimie Lannister,vivant,masculin,,"chef de l'armí©e royale, Rí©gicide",Tywin Lannister,fils,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/598885932897558529/zXxnsZvo.jpg
Lannister,Lion d'Or,Je rugis,Tyrion Lannister ,vivant,masculin,main du roi,conseiller de Daenerys Targaryen,Tywin Lannister,fils,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/2352084914/tyrion-lannister-1024_400x400.jpg
Lannister,Lion d'Or,Je rugis,Joffrey Lannister,mort ,masculin,,roi de Westeros,Cersei Lannister,fils,3,Port Rí©al,,Ouest,oui,oui,oui,oui,non,"http://static.lexpress.fr/medias_10379/w_400,c_fill,g_north/games-of-thrones-le-roi-joffrey_5314217.jpg"
Lannister,Lion d'Or,Je rugis,Joffrey Lannister,mort,masculin,,roi de Westeros,Jaimie Lannister,fils,3,Port Rí©al,,Ouest,oui,oui,oui,oui,non,"http://static.lexpress.fr/medias_10379/w_400,c_fill,g_north/games-of-thrones-le-roi-joffrey_5314217.jpg"
Lannister,Lion d'Or,Je rugis,Tommen Lannister,vivant,masculin,,roi de Westeros,Cersei Lannister,fils,3,Port Rí©al,,Ouest,oui,non,non,oui,oui,https://pbs.twimg.com/profile_images/652365169901891584/pahiUBrm_400x400.jpg
Lannister,Lion d'Or,Je rugis,Tommen Lannister,vivant,masculin,,roi de Westeros,Jaimie Lannister,fils,3,Port Rí©al,,Ouest,oui,non,non,oui,oui,https://pbs.twimg.com/profile_images/652365169901891584/pahiUBrm_400x400.jpg
Targaryen,Dragon Tricí©phale,Feu et sang,Rhaegar Targaryen,mort,masculin,,prince hí©ritier,Aerys II Targaryen,fils,3,Valyrie,Port Rí©al,Essos,oui,non,non,oui,oui,
Targaryen,Dragon Tricí©phale,Feu et sang,Viserys Targaryen,mort,masculin,,prince hí©ritier,Aerys II Targaryen,fils,3,Valyrie,Essos,Essos,oui,non,non,non,non,https://pbs.twimg.com/profile_images/474543131606917120/IrhCPUCU_400x400.jpeg
Aryn,Faucon blanc sur ciel de lune,Aussi haute qu'Honneur,Robert Arryn,vivant,masculin,,Seigneur du Val,Jon Arryn,fils,3,Les Eyrií©,,Val d'Arryn,oui,non,non,oui,non,https://pbs.twimg.com/profile_images/441190112022364161/YPk6_fFq_400x400.jpeg
Aryn,Faucon blanc sur ciel de lune,Aussi haute qu'Honneur,Robert Arryn,vivant,masculin,,Seigneur du Val,Lisa Tully,fils,3,Les Eyrií©,,Val d'Arryn,oui,non,non,oui,non,https://pbs.twimg.com/profile_images/441190112022364161/YPk6_fFq_400x400.jpeg
Greyjoy,Kraken Dorí©,Nous ne semons pas,Theon Greyjoy,vivant,masculin,,Hí©ritier des Iles de Fer,Balon Greyjon,fils,3,Iles de Fer,Winterfell,Iles de Fer,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=400
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Trystane Martell,vivant,masculin,,hí©ritier du tríÇne de Dorne,Doran Martell,fils,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,http://assets.viewers-guide.hbo.com/large555513aae2bb3.jpg
Stark,Loup-Garou,L'hiver vient,Jon Snow,mort,masculin,,"bí¢tard, lord commandant de la garde de nuit",Catelyn Tully,fils adoptif,4,Winterfell,Le Mur,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/610945499856699394/NZbyxcwo.jpg
Stark,Loup-Garou,L'hiver vient,Theon Greyjoy,vivant,masculin,,hí©ritier des Greyjoy,Eddard Stark,fils adoptif,4,Iles de Fer,Winterfell,Nord,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=400
Stark,Loup-Garou,L'hiver vient,Theon Greyjoy,vivant,masculin,,hí©ritier des Greyjoy,Catelyn Tully,fils adoptif,4,Iles de Fer,Winterfell,Nord,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=400
Greyjoy,Kraken Dorí©,Nous ne semons pas,Theon Greyjoy,vivant,masculin,,Hí©ritier des Iles de Fer,Eddard Stark,fils adoptif,4,Iles de Fer,Winterfell,Iles de Fer,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=402
Greyjoy,Kraken Dorí©,Nous ne semons pas,Theon Greyjoy,vivant,masculin,,Hí©ritier des Iles de Fer,Catelyn Tully,fils adoptif,4,Iles de Fer,Winterfell,Iles de Fer,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=403
Stark,Loup-Garou,L'hiver vient,Jon Snow,mort,masculin,,"bí¢tard, lord commandant de la garde de nuit",Eddard Stark,fils batard,5,Winterfell,Le Mur,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/610945499856699394/NZbyxcwo.jpg
Bolton,,,Ramsay Bolton,vivant,masculin,,,Roose Bolton,fils batard,5,Fort Terreur,Winterfell,Nord,non,non,oui,oui,oui,http://static.spylight.com/outfit_images/avatars/000/051/268/square/ramsay-snow-brown-leather-armor-game-of-thrones.jpg?1431925392
Stark,Loup-Garou,L'hiver vient,Robb Stark,mort,masculin,,roi du nord,Sansa Stark,frere,3,Winterfell,Winterfell,Nord,oui,oui ,oui,non,non,https://images.blogthings.com/whatgameofthronescharacterareyouquiz/robb-stark.jpg
Stark,Loup-Garou,L'hiver vient,Robb Stark,mort,masculin,,roi du nord,Arya Stark,frere,3,Winterfell,Winterfell,Nord,oui,oui ,oui,non,non,https://images.blogthings.com/whatgameofthronescharacterareyouquiz/robb-stark.jpg
Stark,Loup-Garou,L'hiver vient,Robb Stark,mort,masculin,,roi du nord,Brandon Stark,frere,3,Winterfell,Winterfell,Nord,oui,oui ,oui,non,non,https://images.blogthings.com/whatgameofthronescharacterareyouquiz/robb-stark.jpg
Stark,Loup-Garou,L'hiver vient,Robb Stark,mort,masculin,,roi du nord,Rickon Stark,frere,3,Winterfell,Winterfell,Nord,oui,oui ,oui,non,non,https://images.blogthings.com/whatgameofthronescharacterareyouquiz/robb-stark.jpg
Stark,Loup-Garou,L'hiver vient,Brandon Stark,vivant,masculin,,membre des enfants de la fíÇret,Robb Stark,frere,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/432738150268411904/6EM9iIF__400x400.png
Stark,Loup-Garou,L'hiver vient,Brandon Stark,vivant,masculin,,membre des enfants de la fíÇret,Sansa Stark,frere,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/432738150268411904/6EM9iIF__400x400.png
Stark,Loup-Garou,L'hiver vient,Brandon Stark,vivant,masculin,,membre des enfants de la fíÇret,Arya Stark,frere,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/432738150268411904/6EM9iIF__400x400.png
Stark,Loup-Garou,L'hiver vient,Brandon Stark,vivant,masculin,,membre des enfants de la fíÇret,Rickon Stark,frere,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/432738150268411904/6EM9iIF__400x400.png
Stark,Loup-Garou,L'hiver vient,Rickon Stark,vivant,masculin,,,Robb Stark,frere,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,non,https://pbs.twimg.com/profile_images/378800000432009708/e907cc868bd6785919ba13f72c00767c_400x400.png
Stark,Loup-Garou,L'hiver vient,Rickon Stark,vivant,masculin,,,Sansa Stark,frere,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,non,https://pbs.twimg.com/profile_images/378800000432009708/e907cc868bd6785919ba13f72c00767c_400x400.png
Stark,Loup-Garou,L'hiver vient,Rickon Stark,vivant,masculin,,,Arya Stark,frere,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,non,https://pbs.twimg.com/profile_images/378800000432009708/e907cc868bd6785919ba13f72c00767c_400x400.png
Stark,Loup-Garou,L'hiver vient,Rickon Stark,vivant,masculin,,,Brandon Stark,frere,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,non,https://pbs.twimg.com/profile_images/378800000432009708/e907cc868bd6785919ba13f72c00767c_400x400.png
Stark,Loup-Garou,L'hiver vient,Theon Greyjoy,vivant,masculin,,hí©ritier des Greyjoy,Asha Greyjoy,frere,3,Iles de Fer,Winterfell,Nord,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=400
Baratheon,Cerf Couronní©,NíÇtre est la fureur,Robert Baratheon,mort,masculin,,roi de Westeros,Stannis Baratheon,frere,3,Accalmie,Port Rí©al,Terres de l'orage,oui,non,non,non,non,https://pbs.twimg.com/profile_images/2793065484/9784137809e53b383bb5d54573108041_400x400.jpeg
Baratheon,Cerf Couronní©,NíÇtre est la fureur,Robert Baratheon,mort,masculin,,roi de Westeros,Renly Baratheon,frere,3,Accalmie,Port Rí©al,Terres de l'orage,oui,non,non,non,non,https://pbs.twimg.com/profile_images/2793065484/9784137809e53b383bb5d54573108041_400x400.jpeg
